entity_id,entity_namespace,source_entity_id,entity_name_original,entity_name_standard,entity_name_status,entity_type_source,entity_type_standardized,entity_type_status,source_pevc_status,standardized_pevc_status,pevc_basis,canonical_entity_id,alias_group_id,manual_review_required,review_status
STD-001282-ISSUER,STANDARD,001282,三联锻造,三联锻造,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-301581-ISSUER,STANDARD,301581,黄山谷捷,黄山谷捷,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-603418-ISSUER,STANDARD,603418,友升股份,友升股份,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-688758-ISSUER,STANDARD,688758,赛分科技,赛分科技,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-688775-ISSUER,STANDARD,688775,影石创新,影石创新,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-920100-ISSUER,STANDARD,920100,三协电机,三协电机,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
STD-920116-ISSUER,STANDARD,920116,星图测控,星图测控,RECOVERED_ACCEPTED_NAME,ISSUER,COMPANY,CONFIRMED,NOT_APPLICABLE,PEVC_EXCLUDED,Issuer entity; not an external PE/VC investor,,,False,FINAL_APPROVED
PTY-001282-00001,PTY,PTY-001282-00001,,,NOT_RECOVERED_FROM_PROJECT_ARTIFACT,,,NOT_RECOVERED,,,,,,False,ACCEPTED_LIMITATION
PTY-301581-00001,PTY,PTY-301581-00001,,,NOT_RECOVERED_FROM_PROJECT_ARTIFACT,,,NOT_RECOVERED,,,,,,False,ACCEPTED_LIMITATION
PTY-301581-00002,PTY,PTY-301581-00002,,,NOT_RECOVERED_FROM_PROJECT_ARTIFACT,,,NOT_RECOVERED,,,,,,False,ACCEPTED_LIMITATION
