evidence_id,company_id,event_id,transaction_id,entity_id,source_file,pdf_page_start,pdf_page_end,document_page_start,document_page_end,source_section,source_line_range,evidence_text,evidence_summary,evidence_type,evidence_sha256,supported_fields,supported_value_source_type,review_status
EVD-001282-0001-01,001282,EVT-001282-0001,,,seven_companies_final_manual_review_completed.xlsx::证据索引,30,32,29,31,（一）有限公司设立情况,"[{""pdf_page"": 30, ""line_start"": 21, ""line_end"": 30}, {""pdf_page"": 31, ""line_start"": 0, ""line_end"": 37}, {""pdf_page"": 32, ""line_start"": 0, ""line_end"": 17}]","（一）有限公司设立情况
1、有限公司设立程序
2004 年 6 月 1 日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协
议书及公司章程，约定三联有限的注册资本500 万元，由孙国奉以机器设备出资
175 万元，占注册资本 35%；孙国敏以货币和机器设备出资 162.5 万元，占注册
资本 32.5%；张松满以货币和机器设备出资 162.5 万元，占注册资本 32.5%。
2、设立时股东出资的验资情况
2004 年 6 月 10 日，安徽平泰会计师事务所出具编号为平泰会验字【2004】
第 395 号《验资报告》，验证截至2004 年 6 月 10 日，三联有限已收到全体股东
缴纳的注册资本合计 500 万元，其中股东孙国奉以实物（机器设备）出资175 万
芜湖三联锻造股份有限公司                                             招股说明书
30
元；股东孙国敏以货币出资 52.5 万元，以实物（机器设备）出资 100 万元，以
代三联有限支付的土地款形成的债权出资 10 万元，共计 162.5 万元；股东张松
满以货币出资 57.5 万元，以实物（机器设备）出资105 万元，共计 162.5 万元。
2004 年 6 月 18 日，三联有限设立经芜湖市工商行政管理局核准，并取得注
册号为 3402012102584 的《营业执照》。
三联有限设立时出资结构如下：
股东名称 注册资本（万元） 出资比例（%） 出资方式 出资状态
孙国奉 175.00 35.00 实物（机器设备） 实缴出资
孙国敏
52.50
32.50
货币
实缴出资 100.00 实物（机器设备）
10.00 债权（代付土地款）
张松满
57.50
32.50
货币
实缴出资
105.00 实物（机器设备）
合计 500.00 100.00 / /
注：张松满系孙国奉之妹孙娟丽的配偶。
3、货币资金置换实物出资的情况
2006 年 9 月 28 日，三联有限召开股东会并决议，同意因生产工艺及设备质
量问题退回三联有限股东用以出资的机器设备，以货币方式置换该实物出资。三
联有限设立时，该机器设备作为实物出资未履行评估作价程序，不符合当时有效
的《公司法》（1999 年）中第二十四条的规定，存在出资程序瑕疵。股东以现
金方式置换该实物出资后，该出资程序瑕疵已消除。
2007 年 11 月 26 日，安徽平泰会计师事务所出具编号为平泰会验字【2007】
第 377 号《验资报告》，验证截至 2007 年 11 月 26 日，三联有限已收到全体股
东 380 万元货币出资，置换原设立时股东投入的实物资产。其中孙国奉货币出资
175万元，孙国敏货币出资 100 万元，张松满货币出资 105 万元。三联有限的注
册资本仍为 500 万元。
本次货币出资置换完成后，三联有限的出资结构如下：
股东名称 注册资本（万元） 出资比例（%） 出资方式 出资状态
孙国奉 175.00 35.00 货币 实缴出资
芜湖三联锻造股份有限公司                                             招股说明书
31
股东名称 注册资本（万元） 出资比例（%） 出资方式 出资状态
孙国敏
152.50
32.50
货币
实缴出资
10.00 债权 （代付土地款）
张松满 162.50 32.50 货币 实缴出资
合计 500.00 100.00 / /
2021 年 5 月 8 日，芜湖市市场监督管理局针对上述货币资金置换出具了 《情
况说明》 ，确认上述设备出资未经评估的瑕疵情形已主动消除且已超出行政处罚
法规定的行政处罚期限。
2021 年 5 月 20 日，容诚会计师出具编号为容诚专字【2021】241Z0033 号的
《验资复核报告》，对前述验资事项进行了复核验证，验证置换实物资产的货币
资金 380 万元已投入三联有限，出资足额、真实；债权出资 10 万元已投入三联
有限，出资足额、真实。",,TEXT,126f5756706b0cc98b877c6b4025c3da629c9fd4af34354f6b106c34a25d7b2c,,DISCLOSED,FINAL_APPROVED
EVD-001282-0003-01,001282,EVT-001282-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,32,34,31,33,（二）股份公司设立情况,"[{""pdf_page"": 32, ""line_start"": 18, ""line_end"": 33}, {""pdf_page"": 33, ""line_start"": 0, ""line_end"": 25}, {""pdf_page"": 34, ""line_start"": 0, ""line_end"": 1}]","（二）股份公司设立情况
1、发行人设立的程序
2018 年 10 月 11 日，三联有限召开股东会并作出决议，全体股东一致同意
三联有限整体变更设立股份有限公司。根据华普天健会计师事务所（特殊普通合
伙）出具编号为会审字【2018】5737 号《审计报告》，截至2018 年 7 月 31 日，
三联有限经审计的净资产总计为 308,886,389.01 元，按照1：0.2639 的比例折股，
折合为股份有限公司的股份总数为 81,500,000 股，每股面值 1 元，共计
81,500,000.00元，其余 227,386,389.01 元计入资本公积。
根据中水致远资产评估有限公司出具的中水致远评报字【2018】第 020281
号《芜湖三联锻造有限公司拟整体变更设立股份有限公司项目资产评估报告》，
截至 2018 年 7 月 31 日，公司净资产评估价值为 37,526.27 万元。
2018 年 10 月 11 日，孙国奉、张一衡、孙国敏、孙仁豪、高新同华等 5 名
股东作为发起人签署了《发起人协议》，一致同意由三联有限整体变更设立股份
公司，股份公司的注册资本为 8,150 万元。
2018 年 10 月 27 日，公司召开创立大会暨第一次临时股东大会并作出决议，
全体股东（发起人）一致同意通过关于整体变更为股份公司的相关议案。
芜湖三联锻造股份有限公司                                             招股说明书
32
2018 年 10 月 27 日，华普天健会计师事务所（特殊普通合伙）对公司的出
资情况进行了审验，并出具会验字【2018】6175号《验资报告》，验证截至2018
年 10 月 27 日，公司已收到全体股东以净资产折股的方式缴纳的注册资本 8,150
万元。
2018 年 11 月 26 日，三联有限整体变更为股份有限公司经芜湖市工商行政
管理局核准，并取得统一社会信用代码为91340200762794150A的 《营业执照》 。
2、发行人对股份改制折股净资产的调整与复核
2021 年 5 月 15 日，容诚会计师出具容诚专字【2021】241Z0034号《芜湖三
联锻造股份有限公司股改净资产出资到位情况专项复核的报告》及《关于芜湖三
联锻造股份有限公司前期会计差错事项对股改基准日净资产影响的说明》 ，因前
期会计差错更正，将三联有限股改基准日净资产由 308,886,389.01 元调整为
298,285,000.14 元。调整后，截至 2018 年 7 月 31 日，三联有限经审计的净资产
总计为 298,285,000.14 元，按照 1：0.2732 折股，折合为股份有限公司的股份总
数为 81,500,000 股，每股面值 1 元，共计 81,500,000.00 元，调整后净资产超出
股本部分 216,785,000.14 元计入股份公司的资本公积。上述调整事项对股改时公
司净资产出资情况未产生出资不实的影响。
2021 年 5 月 15 日，中水致远资产评估有限公司出具《关于芜湖三联锻造股
份有限公司前期会计差错更正对股改基准日评估净资产影响的说明》 ，将三联有
限截至 2018 年 7 月 31 日净资产的评估价值调整为 36,433.51 万元。
2021 年 5 月 15 日，发行人召开了第一届董事会第十七次会议，同意公司对
上述会计差错进行更正。发行人独立董事就前期会计差错更正发表独立意见，同
意发行人的会计处理方式，同意发行人根据调整后的股改净资产进行折股。2021
年 5 月 31 日，发行人召开2021 年第二次临时股东大会，同意公司对上述会计差
错进行更正。
芜湖三联锻造股份有限公司                                             招股说明书
33",,TEXT,fd585eee3537fb24bbfaeb8be304ea46ebc4147a7d29b9b06393140ae6d94706,,DISCLOSED,FINAL_APPROVED
EVD-001282-0003-02,001282,EVT-001282-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,33,33,32,32,（二）股份公司设立情况,"[{""pdf_page"": 33, ""line_start"": 6, ""line_end"": 7}]","2018 年 11 月 26 日，三联有限整体变更为股份有限公司经芜湖市工商行政
管理局核准，并取得统一社会信用代码为91340200762794150A的 《营业执照》 。",,TEXT,30f1444da513f0e3a697c91dff9c866f8304efaddcfa5391478feac566effe77,,DISCLOSED,FINAL_APPROVED
EVD-001282-0003-03,001282,EVT-001282-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,35,36,34,35,（二）股份公司设立情况,"[{""pdf_page"": 35, ""line_start"": 3, ""line_end"": 9}, {""pdf_page"": 36, ""line_start"": 0, ""line_end"": 13}]","2、发行人报告期内的股本演变情况
三联有限自设立至报告期期初（2019 年初）进行了四次股权转让和四次增
资，并于 2018 年 11 月整体变更为股份公司，具体情况请参见申报文件“4-3 发
行人关于公司设立以来股本演变情况的说明及其董事、监事、高级管理人员的确
认意见”。
报告期内，发行人的股本和股东变化情况如下：
2019 年 12 月，股份有限公司第一次增资
芜湖三联锻造股份有限公司                                             招股说明书
35
（1）增资情况
2019 年 12 月 4 日，公司召开 2019 年第二次临时股东大会，审议通过了《关
于公司增资扩股的议案》，议案决定拟将公司的注册资本由 8,150 万元增加至
8,498万元。新增注册资本由新股东三联合伙以每股 4.50 元的价格认购，其中 348
万元计入注册资本，剩余 1,218 万元计入资本公积。
本次增资时三联合伙合伙人的岗位及合伙份额情况如下：
序号 姓名 合伙人类型 岗位 认缴出资额
（万元）
出资比例
（%） 出资方式 出资期限
1 孙国奉 普通合伙人 三联锻造董
事长、 总经理 382.50 24.43 货币 2019.12.31之前",,TEXT,0dd859fd328406cd4a3a01088b20774640792ae729f783130f64efa082399444,,DISCLOSED,FINAL_APPROVED
EVD-001282-0004-01,001282,EVT-001282-0003,,,seven_companies_final_manual_review_completed.xlsx::证据索引,35,36,34,35,2019 年 12 月，股份有限公司第一次增资,"[{""pdf_page"": 35, ""line_start"": 9, ""line_end"": 9}, {""pdf_page"": 36, ""line_start"": 0, ""line_end"": 21}]","2019 年 12 月，股份有限公司第一次增资
芜湖三联锻造股份有限公司                                             招股说明书
35
（1）增资情况
2019 年 12 月 4 日，公司召开 2019 年第二次临时股东大会，审议通过了《关
于公司增资扩股的议案》，议案决定拟将公司的注册资本由 8,150 万元增加至
8,498万元。新增注册资本由新股东三联合伙以每股 4.50 元的价格认购，其中 348
万元计入注册资本，剩余 1,218 万元计入资本公积。
本次增资时三联合伙合伙人的岗位及合伙份额情况如下：
序号 姓名 合伙人类型 岗位 认缴出资额
（万元）
出资比例
（%） 出资方式 出资期限
1 孙国奉 普通合伙人 三联锻造董
事长、 总经理 382.50 24.43 货币 2019.12.31之前
2 韩良 有限合伙人 三联锻造董
事、 副总经理 360.00 22.99 货币 2019.12.31之前
3 孟江峰 有限合伙人 三联锻造副
总经理 135.00 8.62 货币 2019.12.31之前
4 杨成 有限合伙人
三联锻造财
务总监、 董事
会秘书",,TEXT,c078634a467c4bf886d5021efccc82b15caa052bac25efe1a70be1a014e3c9de,,DISCLOSED,FINAL_APPROVED
EVD-001282-0004-02,001282,EVT-001282-0003,,,seven_companies_final_manual_review_completed.xlsx::证据索引,39,40,38,39,2019 年 12 月，股份有限公司第一次增资,"[{""pdf_page"": 39, ""line_start"": 15, ""line_end"": 29}, {""pdf_page"": 40, ""line_start"": 0, ""line_end"": 5}]","报告》，按照公司截至 2019 年 12 月 31 日的股权公允价值的评估对前次股份支
付公允价值进行调整，将股份支付授予的公允价值由 6.48 元/股调整为 7.15 元/
股。2019 年 12 月 4 日，公司股东大会审议通过了《关于公司增资扩股的议案》，
发行人选择该时点作为授予日， 按照7 年确认等待期 （以2019 年 12 月 4 日起算，
按照公司上市申报计划 2023 年 12 月上市，含上市后锁定期 3 年），根据中水致
远股权评估公允价值 7.15 元/股与 4.50 元/股的价差按期分摊计入当期费用。
公司在等待期内每个资产负债表日对预计可行权数量作出合理估计，确认相
应的股权激励费用。等待期内若公司估计成功完成首次公开发行股票并上市且股
票锁定期（自公司股票上市之日起三年）的时点发生变化，需根据重估时点确定
等待期，截至当期累计应确认的股权激励费用扣减前期累计已确认金额，作为当
期应确认的股权激励费用。
本次股份支付费用按照 7 年等待期确认为管理费用和资本公积，并将确认的
股份支付的费用计入经常性损益。对应会计处理为：
期间 会计科目 借方金额（元） 贷方金额（元）
2022年度 管理费用-股份支付 962,795.80 -
芜湖三联锻造股份有限公司                                             招股说明书
39
期间 会计科目 借方金额（元） 贷方金额（元）
资本公积 - 962,795.80
2021年度
管理费用-股份支付 929,944.49 -",,TEXT,c9f339424994f0fe5b7edef4df2596504e689b9272cdeecd87cbe9eb423f4954,,DISCLOSED,FINAL_APPROVED
EVD-301581-0001-01,301581,EVT-301581-0001,,,seven_companies_final_manual_review_completed.xlsx::证据索引,41,41,1-1-40,1-1-40,2012-06，发行人前身设立,"[{""pdf_page"": 41, ""line_start"": 3, ""line_end"": 18}]","2012年6月，谷捷有限
增资
2022年9月，整体变更
为股份公司
注册资本1,000万元，由昆山谷捷出资设立
昆山谷捷将其所持谷捷有限78%、11%、11%的股权
分别转让给黄山供销集团、张俊武、周斌，转让
后黄山供销集团、张俊武、周斌分别持有78%、
11%、11%的股权",,TEXT,589fd037279ade6f4fc2693e1f9a23f67c5bc94469a1df9e591d68e925a3bc69,,DISCLOSED,FINAL_APPROVED
EVD-301581-0002-01,301581,EVT-301581-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,41,41,1-1-40,1-1-40,2021年4月，吸收合并,"[{""pdf_page"": 41, ""line_start"": 7, ""line_end"": 11}]","2021年4月，吸收合并
2021年11月，第一次
增资
2022年5月，第二次
增资",,TEXT,aec1708d01688dddb195409f123d16bcb6594a826ff8d8fe99f87256003745ad,,DISCLOSED,FINAL_APPROVED
EVD-301581-0002-02,301581,EVT-301581-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,43,43,1-1-42,1-1-42,2021年4月，吸收合并,"[{""pdf_page"": 43, ""line_start"": 2, ""line_end"": 11}]","3、2021 年 4 月，吸收合并
2020 年 12 月 24 日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收
合并昆山谷捷，合并后谷捷有限存续，昆山谷捷注销；同日，谷捷有限与昆山谷
捷签订《合并协议》。
2020 年 12 月 25 日，谷捷有限与昆山谷捷在《中国商报》联合刊登了吸收
合并公告，按照《公司法》规定履行了债权人告知等义务。公告期满，未有债权
人要求谷捷有限清偿债务或要求谷捷有限提供相应担保。
2020 年 12 月 30 日，黄山市供销社、黄山供销集团出具《关于同意昆山谷
捷股权转让以及黄山谷捷吸收合并昆山谷捷的批复》（黄供集团[2020]80 号），
同意谷捷有限吸收合并昆山谷捷，吸收合并后昆山谷捷注销，谷捷有限存续。",,TEXT,fac80a14a4eca26112040ee8999c3e7b73cc20af0abc1d693553bfc90f588b95,,DISCLOSED,FINAL_APPROVED
EVD-301581-0002-03,301581,EVT-301581-0002,,,seven_companies_final_manual_review_completed.xlsx::证据索引,43,44,1-1-42,1-1-43,2021年4月，吸收合并,"[{""pdf_page"": 43, ""line_start"": 12, ""line_end"": 25}, {""pdf_page"": 44, ""line_start"": 0, ""line_end"": 17}]","2021 年 4 月 7 日，谷捷有限召开股东会，吸收合并后谷捷有限的注册资本
变更为 1,200 万元，其中黄山供销集团出资 936 万元，张俊武出资 132 万元，周
斌出资 132 万元；同日，谷捷有限与昆山谷捷再次签订《吸收合并协议》，进一
步明确了双方权利义务等条款。
2021 年 4 月 13 日， 谷捷有限取得了黄山市徽州区市场监督管理局为其换发
的营业执照（统一社会信用代码：913410045986552970）。
2021 年 8 月 20 日，国家税务总局苏州昆山经济技术开发区税务局出具《清
税证明》 （昆开税税企清[2021]9296 号），确认昆山谷捷税务事项已结清。2021
年 9 月 7 日， 昆山市市场监督管理局出具 《准予注销登记通知书》 （ （05831101zc）
公司注销[2021]第 09070003 号），核准昆山谷捷注销。
2022 年 11 月 16 日， 中审众环会计师出具 《验资报告》 （众环验字 （2022）
0110095 号），确认截至 2021 年 9 月 7 日，谷捷有限已收到全体股东新增实收
资本 200 万元，由股东以被合并方昆山谷捷的账面净资产出资。
本次吸收合并前后，谷捷有限、昆山谷捷的股东及各出资比例如下：
黄山谷捷股份有限公司                                                              招股说明书
1-1-43
单位：万元
序
号 股东名称
吸收合并前 吸收合并后
谷捷有限 昆山谷捷 谷捷有限
出资额 出资比例 出资额 出资比例 出资额 出资比例
1 黄山供销集团 780.00 78.00% 156.00 78.00% 936.00 78.00%
2 张俊武 110.00 11.00% 22.00 11.00% 132.00 11.00%
3 周斌 110.00 11.00% 22.00 11.00% 132.00 11.00%
合计 1,000.00 100.00% 200.00 100.00% 1,200.00 100.00%
本次吸收合并系同一股权结构下的公司架构调整， 吸收合并当时未对双方净
资产进行评估。2022 年 11 月 14 日，中联国信进行了追溯评估并出具了《资产
评估报告》 （皖中联国信评报字（2022）第 303-1 号、 皖中联国信评报字（2022）
第 303-2 号），确认截至2021 年 3 月 31 日，昆山谷捷净资产账面价值为 380.94
万元，评估价值为 380.94 万元，谷捷有限净资产账面价值为 2,912.30 万元，评
估价值为 9,651.75 万元。",,TEXT,543bbe0fdcee3ff56bc89c63e53c936d000bba6b2f7d8e08e9e459cc06f5f282,,DISCLOSED,FINAL_APPROVED
