transaction_id,transaction_party_id,entity_id,entity_role_source,entity_role_standardized,amount_attributed_10k_cny,amount_attributed_status,ownership_acquired,ownership_acquired_status,relation_source_type,evidence_id,review_status
TRX-001282-0002-01,TRX-001282-0002-01-P01,PTY-001282-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-001282-0003-01,FINAL_APPROVED
TRX-001282-0003-01,TRX-001282-0003-01-P01,PTY-001282-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-001282-0004-01,FINAL_APPROVED
TRX-301581-0001-01,TRX-301581-0001-01-P01,PTY-301581-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0001-01,FINAL_APPROVED
TRX-301581-0002-01,TRX-301581-0002-01-P01,PTY-301581-00001,被吸收方ID,ABSORBED_PARTY,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0002-01,FINAL_APPROVED
TRX-301581-0002-01,TRX-301581-0002-01-P02,PTY-301581-00002,被吸收方ID,ABSORBED_PARTY,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0002-01,FINAL_APPROVED
TRX-301581-0002-01,TRX-301581-0002-01-P03,PTY-301581-00003,被吸收方ID,ABSORBED_PARTY,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0002-01,FINAL_APPROVED
TRX-301581-0002-01,TRX-301581-0002-01-P04,PTY-301581-00004,被吸收方ID,ABSORBED_PARTY,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0002-01,FINAL_APPROVED
TRX-301581-0002-01,TRX-301581-0002-01-P05,PTY-301581-00005,被吸收方ID,ABSORBED_PARTY,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-301581-0002-01,FINAL_APPROVED
TRX-603418-0001-01,TRX-603418-0001-01-P01,PTY-603418-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-603418-0001-01,FINAL_APPROVED
TRX-603418-0001-01,TRX-603418-0001-01-P02,PTY-603418-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-603418-0001-01,FINAL_APPROVED
TRX-603418-0004-01,TRX-603418-0004-01-P01,PTY-603418-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-603418-0005-01,FINAL_APPROVED
TRX-603418-0004-01,TRX-603418-0004-01-P02,PTY-603418-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-603418-0005-01,FINAL_APPROVED
TRX-688758-0003-01,TRX-688758-0003-01-P01,PTY-688758-00001,转让方ID,TRANSFEROR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0003-01,FINAL_APPROVED
TRX-688758-0003-01,TRX-688758-0003-01-P02,PTY-688758-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0003-01,FINAL_APPROVED
TRX-688758-0003-02,TRX-688758-0003-02-P01,PTY-688758-00001,转让方ID,TRANSFEROR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0003-01,FINAL_APPROVED
TRX-688758-0003-02,TRX-688758-0003-02-P02,PTY-688758-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0003-01,FINAL_APPROVED
TRX-688758-0004-01,TRX-688758-0004-01-P01,PTY-688758-00001,转让方ID,TRANSFEROR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0004-01,FINAL_APPROVED
TRX-688758-0004-01,TRX-688758-0004-01-P02,PTY-688758-00002,受让方ID,TRANSFEREE,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0004-01,FINAL_APPROVED
TRX-688758-0005-01,TRX-688758-0005-01-P01,PTY-688758-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0005-01,FINAL_APPROVED
TRX-688758-0005-01,TRX-688758-0005-01-P02,PTY-688758-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0005-01,FINAL_APPROVED
TRX-688758-0006-01,TRX-688758-0006-01-P01,PTY-688758-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-688758-0006-01,FINAL_APPROVED
TRX-920116-0001-01,TRX-920116-0001-01-P01,PTY-920116-00001,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-920116-0001-01,FINAL_APPROVED
TRX-920116-0001-01,TRX-920116-0001-01-P02,PTY-920116-00002,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-920116-0001-01,FINAL_APPROVED
TRX-920116-0001-01,TRX-920116-0001-01-P03,PTY-920116-00003,投资方ID,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,DISCLOSED,EVD-920116-0001-01,FINAL_APPROVED
W7-OVR-920100-2022-DI-T001,W7-OVR-920100-2022-DI-T001-P01,STD-920100-PEVC-001,Week7 accepted investor,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,STANDARDIZED,,FINAL_APPROVED
W7-OVR-920100-2022-DI-T001,W7-OVR-920100-2022-DI-T001-P02,STD-920100-PEVC-002,Week7 accepted investor,INVESTOR,,NOT_CALCULABLE,,NOT_DISCLOSED,STANDARDIZED,,FINAL_APPROVED
TRX-301563-TR-LOT-001,TRX-301563-TR-LOT-001-P01,ENT-001,transferor_party_id,TRANSFEROR,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-002-E02,FINAL_APPROVED
TRX-301563-TR-LOT-001,TRX-301563-TR-LOT-001-P02,ENT-003,transferee_party_id,TRANSFEREE,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-002-E02,FINAL_APPROVED
TRX-301563-TR-LOT-002,TRX-301563-TR-LOT-002-P01,ENT-002,transferor_party_id,TRANSFEROR,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-003-E02,FINAL_APPROVED
TRX-301563-TR-LOT-002,TRX-301563-TR-LOT-002-P02,ENT-003,transferee_party_id,TRANSFEREE,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-003-E02,FINAL_APPROVED
TRX-301563-TR-LOT-003,TRX-301563-TR-LOT-003-P01,ENT-002,transferor_party_id,TRANSFEROR,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-003-E02,FINAL_APPROVED
TRX-301563-TR-LOT-003,TRX-301563-TR-LOT-003-P02,ENT-004,transferee_party_id,TRANSFEREE,,NOT_DISCLOSED,,NOT_DISCLOSED,DISCLOSED,CE-003-E02,FINAL_APPROVED
TRX-301563-TR-LOT-004,TRX-301563-TR-LOT-004-P01,ENT-009,transferor_party_id,TRANSFEROR,1000,DISCLOSED_COMPLETE,,NOT_DISCLOSED,DISCLOSED,CE-009-E01,FINAL_APPROVED
