transaction_id,event_id,transaction_type_source,transaction_type_standardized,transaction_date_original,transaction_date_standardized,date_role,shares_or_capital_acquired,quantity_status,quantity_unit,ownership_before,ownership_before_status,ownership_after,ownership_after_status,transaction_amount_10k_cny,transaction_amount_original_text,transaction_amount_original_currency,transaction_amount_original_unit,transaction_amount_status,price_per_share_or_capital,price_status,entry_method,amount_source_type,calculation_formula,calculation_inputs,primary_evidence_id,review_status
TRX-001282-0001-01,EVT-001282-0001,ESTABLISHMENT,ESTABLISHMENT,2004-06-18,2004-06-18,REGISTRATION,,NOT_DISCLOSED,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,ESTABLISHMENT_ENTRY,,,,EVD-001282-0001-01,FINAL_APPROVED
TRX-001282-0002-01,EVT-001282-0002,OVERALL_CHANGE,OVERALL_CHANGE,2018-11-26,2018-11-26,UNKNOWN,,NOT_APPLICABLE,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_APPLICABLE,,,,EVD-001282-0003-01,FINAL_APPROVED
TRX-001282-0003-01,EVT-001282-0003,CAPITAL_INCREASE,CAPITAL_INCREASE,2019-12,2019-12,UNKNOWN,348,DISCLOSED_COMPLETE,10K_SHARE,,NOT_APPLICABLE,,NOT_APPLICABLE,1566,,CNY,万元,DISCLOSED_COMPLETE,4.5,DISCLOSED_COMPLETE,CAPITAL_INCREASE_ENTRY,CALCULATED,348万股×4.50元/股,348万股×4.50元/股,EVD-001282-0004-01,FINAL_APPROVED
TRX-301581-0001-01,EVT-301581-0001,ESTABLISHMENT,ESTABLISHMENT,2012-06,2012-06,UNKNOWN,,NOT_DISCLOSED,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,ESTABLISHMENT_ENTRY,,,,EVD-301581-0001-01,FINAL_APPROVED
TRX-301581-0002-01,EVT-301581-0002,ABSORPTION_MERGER,ABSORPTION_MERGER,2021-04,2021-04,UNKNOWN,,NOT_APPLICABLE,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_APPLICABLE,,,,EVD-301581-0002-01,FINAL_APPROVED
TRX-301581-0003-01,EVT-301581-0003,EQUITY_TRANSFER,EQUITY_TRANSFER,2021-04,2021-04,UNKNOWN,,NOT_DISCLOSED,,,NOT_DISCLOSED,,NOT_DISCLOSED,,,CNY,万元,DISCLOSED_COMPLETE,,NOT_DISCLOSED,TRANSFER_ENTRY,DISCLOSED,,,EVD-301581-0003-01,FINAL_APPROVED
TRX-301581-0004-01,EVT-301581-0004,CAPITAL_INCREASE,CAPITAL_INCREASE,2021-11,2021-11,UNKNOWN,514.2857,DISCLOSED_COMPLETE,10K_SHARE,,NOT_APPLICABLE,,NOT_APPLICABLE,11530.285394,,CNY,万元,DISCLOSED_COMPLETE,22.42,DISCLOSED_COMPLETE,CAPITAL_INCREASE_ENTRY,CALCULATED,514.2857万股×22.42元/股,514.2857万股×22.42元/股,EVD-301581-0004-01,FINAL_APPROVED
TRX-301581-0005-01,EVT-301581-0005,CAPITAL_INCREASE,CAPITAL_INCREASE,2022-05,2022-05,UNKNOWN,90.2256,DISCLOSED_COMPLETE,10K_SHARE,,NOT_APPLICABLE,,NOT_APPLICABLE,2124.81288,,CNY,万元,DISCLOSED_COMPLETE,23.55,DISCLOSED_COMPLETE,CAPITAL_INCREASE_ENTRY,CALCULATED,90.2256万股×23.55元/股,90.2256万股×23.55元/股,EVD-301581-0005-01,FINAL_APPROVED
TRX-301581-0006-01,EVT-301581-0006,OVERALL_CHANGE,OVERALL_CHANGE,2022-09,2022-09,UNKNOWN,,NOT_APPLICABLE,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_APPLICABLE,,,,EVD-301581-0006-01,FINAL_APPROVED
TRX-603418-0001-01,EVT-603418-0001,ESTABLISHMENT,ESTABLISHMENT,1992-12-04,1992-12-04,REGISTRATION,,NOT_DISCLOSED,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,ESTABLISHMENT_ENTRY,,,,EVD-603418-0001-01,FINAL_APPROVED
TRX-603418-0002-01,EVT-603418-0002,OVERALL_CHANGE,OVERALL_CHANGE,2020-09-09,2020-09-09,REGISTRATION,,NOT_APPLICABLE,,,NOT_APPLICABLE,,NOT_APPLICABLE,,,,,NOT_APPLICABLE,,NOT_APPLICABLE,NOT_APPLICABLE,,,,EVD-603418-0003-01,FINAL_APPROVED
TRX-603418-0003-01,EVT-603418-0003,CAPITAL_INCREASE,CAPITAL_INCREASE,2020-09,2020-09,UNKNOWN,,NOT_DISCLOSED,,,NOT_APPLICABLE,,NOT_APPLICABLE,11500,,CNY,万元,DISCLOSED_COMPLETE,,NOT_DISCLOSED,CAPITAL_INCREASE_ENTRY,CALCULATED,7000+3000+1500万元,7000+3000+1500,EVD-603418-0004-01,FINAL_APPROVED
TRX-603418-0004-01,EVT-603418-0004,CAPITAL_INCREASE,CAPITAL_INCREASE,2022-12,2022-12,UNKNOWN,,NOT_DISCLOSED,,,NOT_APPLICABLE,,NOT_APPLICABLE,37000,,CNY,万元,DISCLOSED_COMPLETE,,NOT_DISCLOSED,CAPITAL_INCREASE_ENTRY,DISCLOSED,,,EVD-603418-0005-01,FINAL_APPROVED
